Filename;ActivityName;Location;ReferenceProduct
000061ab-17e3-4ac5-af1e-cac3156139bd_dcb70fd5-e305-4920-b68b-40697cc6a206.spold;market for waste polyethylene terephthalate;LT;waste polyethylene terephthalate
0001007a-c79a-497f-b637-27e40496407e_4e735e76-09eb-493b-87b9-e22d9550e4ad.spold;ethylvinylacetate production, foil;RoW;ethylvinylacetate, foil
0005a781-1148-428e-b3f7-db72476945b2_2cfef82e-cb0d-4864-8163-9651fc6c25eb.spold;Mannheim process;RER;sodium sulfate, anhydrite
0005a781-1148-428e-b3f7-db72476945b2_3ab60559-40d3-42e4-9cac-476a519098fa.spold;Mannheim process;RER;hydrochloric acid, without water, in 30% solution state
00075949-f344-41e4-8ab5-8a8e18f81b79_7abb1e42-78ba-41fc-b2d6-967b8480dfbe.spold;aluminium oxide factory construction;RER;aluminium oxide factory
00080e52-8233-40b6-8962-af1c737bb23b_20d649c2-db6b-4c9a-b529-409c9d43748e.spold;market for sunflower seed;GLO;sunflower seed
000bede7-0187-5416-a313-2f856ad91086_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, annual cropland to perennial crop;BR-AM;land tenure, arable land, measured as carbon net primary productivity, perennial crop
00127d6f-21f9-43c9-b235-602b0f06235f_cb09bcae-b469-4f41-84a6-cdd1e958e027.spold;rape seed production;US;rape seed
00186c5a-66d4-40b7-8d32-09369ddf9fa3_5543d899-1cbd-4acf-a770-befd41102943.spold;hydroformylation of propylene;RER;1-butanol
001dcc8a-2554-4b48-bc4b-8e9fc082e9f9_883e77e1-98eb-4be0-9608-5b4365d19676.spold;market for cover plaster, mineral;GLO;cover plaster, mineral
0022d54c-8398-4553-b01d-fb234ba1cf8a_998b299a-be0c-4cca-8db5-8363d1594171.spold;market for door, outer, wood-aluminium;GLO;door, outer, wood-aluminium
00246621-c04b-4715-82a7-e9759e3b5a11_7cb72345-4338-4f2d-830f-65bba3530fdb.spold;wheat bran to generic market for energy feed;ZA;energy feed, gross
00246621-c04b-4715-82a7-e9759e3b5a11_8b2dfb58-660d-44eb-b83f-5d9e28e467db.spold;wheat bran to generic market for energy feed;ZA;protein feed, 100% crude
0027938f-83a8-49bc-8d77-81a6754b3101_a7da3e3d-12a6-4e17-944d-8261d33025ab.spold;gypsum quarry operation;RoW;anhydrite rock
002901c5-999c-4174-a3dc-8c11563591a3_d3d23054-a030-4284-9cfb-c464e70ec865.spold;treatment of coal gas, in power plant;CA-PE;coal gas
0029e73e-e8f1-416e-a173-e164a3d2fa2e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, conventional power plant;TR;electricity, high voltage
002bf25f-3cb3-4b86-9de8-123ccec3bb49_479205fc-ee9f-45ec-9859-0f05b803147f.spold;operation, computer, desktop, with cathode ray tube display, off mode;CH;operation, computer, desktop, with cathode ray tube display, off mode
002ed1a1-e5cb-45a6-aa2c-0e2ba8c6d506_49719318-578e-40fe-b359-0780c8df9221.spold;intensive beef cattle production on pasture;RoW;cattle for slaughtering, live weight
002ed1a1-e5cb-45a6-aa2c-0e2ba8c6d506_4a62806e-17d6-473e-95fc-394ac760261e.spold;intensive beef cattle production on pasture;RoW;weaned heifers, live weight
002ed1a1-e5cb-45a6-aa2c-0e2ba8c6d506_5c5d0acc-fe59-4c21-ab51-6690a4bbae8a.spold;intensive beef cattle production on pasture;RoW;weaned calves, live weight
002ed1a1-e5cb-45a6-aa2c-0e2ba8c6d506_d7432632-40dc-4af8-8125-cb70dd9742c5.spold;intensive beef cattle production on pasture;RoW;iron scrap, unsorted
002f4bdf-6c01-4dee-a365-d56f3651f742_56179069-a600-44f6-8403-9de4a908fd82.spold;market for stirling heat and power co-generation unit, 3kW electrical, wood pellet, future;GLO;stirling heat and power co-generation unit, 3kW electrical, future
00301480-8819-4447-b7b4-15cfa49f8d9e_57a41587-d3a4-4a86-91d5-77ee2ffbaa9b.spold;coconut oil production, crude;RoW;coconut oil, crude
0032514d-b615-4f2c-8403-8072e50ee20e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;ASCC;electricity, high voltage
003692ef-cad5-4ca7-92c8-07d710dcd680_12beeeef-5f97-45c3-89ae-6174be37eb41.spold;market for operation, reefer, cooling;GLO;operation, reefer, cooling
00398416-74db-4b47-a5f6-a0bd16452784_b1f74287-042b-4171-b90c-b1eb5739f30d.spold;concrete production, 35MPa, ready-mix, with cement blast furnace slag 35-70%;BR;concrete, 35MPa
003a6005-f019-443d-a2be-f0dbd3a1c209_610c39dc-6f93-4889-91c8-bbed6ed78552.spold;market for sulfur trioxide;RoW;sulfur trioxide
003ab6fa-d83b-456f-a806-85c639d470fa_4c2bb0f0-422d-4fb3-bcfe-a36ef1b55874.spold;market for land tenure, arable land, measured as carbon net primary productivity, annual crop;BR-GO;land tenure, arable land, measured as carbon net primary productivity, annual crop
003ac700-869b-45a7-8c00-e52bcf33b729_e303fb73-b0e1-41ae-bddc-5e0e444eb3fb.spold;treatment of waste cooking oil, purified, esterification;FR;used vegetable cooking oil, purified
003d1974-31bf-4c1b-b4a1-ae4833ed137f_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;market for heat, for reuse in municipal waste incineration only;PL;heat, for reuse in municipal waste incineration only
0041bcf0-b24a-4727-b394-5916e44bcf0e_6c8d3210-303e-4897-b8c0-2258cb6552f2.spold;yarn production, cotton, ring spinning;IN;yarn, cotton
0043080b-a1e0-4cdb-958f-c56c4167c3f5_0b4d69f9-6b39-4232-948b-62b7b4f0d3d8.spold;gold-silver-zinc-lead-copper mining and benefication;CA-QC;copper concentrate, sulfide ore
0043080b-a1e0-4cdb-958f-c56c4167c3f5_2a1ff7f1-dbb0-48eb-b5a2-c04054380bdf.spold;gold-silver-zinc-lead-copper mining and benefication;CA-QC;gold-silver, ingot
0043080b-a1e0-4cdb-958f-c56c4167c3f5_4f312355-ac65-4635-8fb2-006dba64ce60.spold;gold-silver-zinc-lead-copper mining and benefication;CA-QC;iron scrap, sorted, pressed
0043080b-a1e0-4cdb-958f-c56c4167c3f5_b7e3b1ef-098a-48f1-b686-8baa82cff1d3.spold;gold-silver-zinc-lead-copper mining and benefication;CA-QC;zinc concentrate
0043080b-a1e0-4cdb-958f-c56c4167c3f5_d5f3fdb3-44b1-4f40-a9b8-207c0552c552.spold;gold-silver-zinc-lead-copper mining and benefication;CA-QC;lead concentrate
0046483d-6a69-4d12-b16f-90b4af68400b_b685192a-e033-421e-9074-8fe7cb176046.spold;polyethylene, high density, granulate, recycled to generic market for high density PE granulate;CH;polyethylene, high density, granulate
0049f382-44ea-5ae9-bc63-6717d60da248_ee02b2e7-9c42-4fe3-904b-2a4a6f221656.spold;ethoxylated alcohol (AE7) production, petrochemical;RER;ethoxylated alcohol (AE7)
004c2775-4020-4609-ae99-b2171984e29f_5e5e458a-c9d5-4bce-80d2-3633fb8fd0c7.spold;maize grain processing, dry milling;RoW;maize flour
004c2775-4020-4609-ae99-b2171984e29f_7cb72345-4338-4f2d-830f-65bba3530fdb.spold;maize grain processing, dry milling;RoW;energy feed, gross
004c2775-4020-4609-ae99-b2171984e29f_e44c925e-8055-4a03-9c62-4622612d3b58.spold;maize grain processing, dry milling;RoW;maize chop
004eea9b-e926-4795-86bf-57a4912725a4_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, pressure water reactor;FR;electricity, high voltage
0052f41d-1f71-45be-af2f-56bc830c4a9c_ffa87882-6302-430b-a4c2-45426a006ed7.spold;isophthalic acid based unsaturated polyester resin production;RER;isophthalic acid based unsaturated polyester resin
00539aa7-9a4d-4915-bd80-0386d1945220_2de57b5a-6b48-4049-b315-271cdff5cdf2.spold;market for carrot seed, Swiss integrated production, at farm;GLO;carrot seed, Swiss integrated production, at farm
0059c403-3fa3-4567-bdfe-457ded77291d_45fbbc41-7ae9-46cc-bb31-abfa11e69de0.spold;treatment of waste polyethylene, municipal incineration with fly ash extraction;CH;heat, for reuse in municipal waste incineration only
0059c403-3fa3-4567-bdfe-457ded77291d_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of waste polyethylene, municipal incineration with fly ash extraction;CH;electricity, for reuse in municipal waste incineration only
0059c403-3fa3-4567-bdfe-457ded77291d_7ee0ddc3-924d-4339-b9bf-7856af6a698f.spold;treatment of waste polyethylene, municipal incineration with fly ash extraction;CH;waste polyethylene
